archived_at,company,job_title,job_url,applied_at,source,archive_reason,notes
2026-07-21T22:48:15.127Z,NVIDIA,"Deep Learning Software Engineer, TensorRT Performance - New College Grad 2026",https://www.linkedin.com/jobs/view/deep-learning-software-engineer-tensorrt-performance-new-college-grad-2026-at-nvidia-4442243693,,LinkedIn Jobs guest search; public LinkedIn detail page,Archived from dashboard,Manual dashboard archive write-back.
2026-07-21T22:49:00.826Z,Abel.ai,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-abel-ai-4442250470,,LinkedIn Jobs guest search; public LinkedIn detail page,Archived from dashboard,Manual dashboard archive write-back.
2026-07-21T22:49:13.071Z,Traba,Software Engineer (AI Agents),https://www.linkedin.com/jobs/view/software-engineer-ai-agents-at-traba-4442081653,,LinkedIn Jobs guest search; public LinkedIn detail page,Archived from dashboard,Manual dashboard archive write-back.
2026-07-21T22:49:30.910Z,Goldman Sachs,"AI/ML Engineer, Global Banking & Markets, Front Office Technology",https://www.linkedin.com/jobs/view/ai-ml-engineer-global-banking-markets-front-office-technology-at-goldman-sachs-4373079780,,LinkedIn Jobs guest search; public LinkedIn detail page,Archived from dashboard,Manual dashboard archive write-back.
2026-07-21T22:49:36.624Z,Two Sigma,Quantitative Software Engineer: Generative AI,https://www.linkedin.com/jobs/view/quantitative-software-engineer-generative-ai-at-two-sigma-4199615720,,LinkedIn Jobs guest search; public LinkedIn detail page,Archived from dashboard,Manual dashboard archive write-back.
2026-07-21T22:49:38.650Z,Greptile via Jack & Jill,Generalist Engineer at Greptile,https://www.linkedin.com/jobs/view/generalist-engineer-at-greptile-at-jack-jill-4442067766,,LinkedIn Jobs guest search; public LinkedIn detail page,Archived from dashboard,Manual dashboard archive write-back.
2026-07-21T22:49:42.934Z,Pax,Software Engineer (Early Career),https://www.linkedin.com/jobs/view/software-engineer-early-career-at-basis-set-4442467762,,LinkedIn Jobs guest search; Basis Set portfolio listing,Archived from dashboard,Manual dashboard archive write-back.
2026-07-21T22:51:09Z,Katalyst Space Technologies,Software Engineer 1 - Model and Simulation,https://job-boards.greenhouse.io/katalyst/jobs/6115352004?utm_source=Simplify&ref=Simplify,,Simplify Jobs,Posted before 2026-07-21 cutoff,Bulk archived from dashboard request.
2026-07-21T22:51:09Z,Varsity Brands,Software Engineer 1,https://careers.varsitybrands.com/global/en/job/JR114172?utm_source=Simplify&ref=Simplify,,Simplify Jobs,Posted before 2026-07-21 cutoff,Bulk archived from dashboard request.
2026-07-21T22:51:09Z,DoorDash,Software Engineer 1,https://job-boards.greenhouse.io/doordashusa/jobs/7263610?utm_source=Simplify&ref=Simplify,,Simplify Jobs,Posted before 2026-07-21 cutoff,Bulk archived from dashboard request.
2026-07-21T22:51:09Z,WhatNot,Software Engineer New Grad,https://jobs.ashbyhq.com/whatnot/bc8f8c7f-2c4c-4f43-a238-953568c101b8/application?utm_source=Simplify&ref=Simplify,,Simplify Jobs,Posted before 2026-07-21 cutoff,Bulk archived from dashboard request.
2026-07-21T22:51:09Z,Akuna Capital University,Entry Level Software Engineer - C++,https://www.akunacapital.com/careers/job/8013085/?gh_jid=8013085&utm_source=Simplify&ref=Simplify,,Simplify Jobs,Posted before 2026-07-21 cutoff,Bulk archived from dashboard request.
2026-07-21T22:51:09Z,Faros AI,Software Engineer New Grad,https://jobs.ashbyhq.com/faros-ai/622e1f1e-4a39-4e7c-8526-1189ca588066/application?embed=true&utm_source=Simplify&ref=Simplify,,Simplify Jobs public new-grad feed,Posted before 2026-07-21 cutoff,Bulk archived from dashboard request.
2026-07-21T22:51:09Z,Nuro,Software Engineer New Grad - Performance,https://nuro.ai/careersitem?gh_jid=8064655&utm_source=Simplify&ref=Simplify,,Simplify Jobs public new-grad feed,Posted before 2026-07-21 cutoff,Bulk archived from dashboard request.
