archived_at,company,job_title,job_url,applied_at,source,archive_reason,notes
2026-09-06T00:44:56.878Z,NVIDIA,NVIDIA 2027 New College Graduate: Autonomous Vehicles and Robotics - China,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/China-Shanghai/NVIDIA-2027-New-College-Graduate--Autonomous-Vehicles-and-Robotics---China_JR2024109,,NVIDIA 校招官网 Workday (NVIDIAExternalCareerSite),Archived from dashboard,Manual dashboard archive write-back.
2026-09-06T00:44:58.639Z,NVIDIA,NVIDIA 2027 New College Graduate: Deep Learning and High-Performance Computing Engineering - China,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/China-Shanghai/NVIDIA-2027-New-College-Graduate--Deep-Learning-and-High-Performance-Computing-Engineering---China_JR2024107,,NVIDIA 校招官网 Workday (NVIDIAExternalCareerSite),Archived from dashboard,Manual dashboard archive write-back.
2026-09-06T00:45:00.151Z,NVIDIA,NVIDIA 2027 New College Graduate: Software Engineering - China,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/China-Shanghai/NVIDIA-2027-New-College-Graduate--Software-Engineering---China_JR2024111,,NVIDIA 校招官网 Workday (NVIDIAExternalCareerSite),Archived from dashboard,Manual dashboard archive write-back.
2026-09-13T17:53:18.219Z,Microsoft,Software Engineer (APRD),https://apply.careers.microsoft.com/careers/job/1970393556994893,,Microsoft 官网 Eightfold (apply.careers.microsoft.com),Archived from dashboard,Manual dashboard archive write-back.
2026-09-13T17:53:50.841Z,Microsoft,"Software Engineer (Windows App, Linux client)",https://apply.careers.microsoft.com/careers/job/1970393556981792,,Microsoft 官网 Eightfold (apply.careers.microsoft.com),Archived from dashboard,Manual dashboard archive write-back.
2026-09-13T17:54:15.172Z,Bosch 博世智能出行 (BCSC),辅助驾驶功能开发工程师(27届校招),https://jobs.smartrecruiters.com/BoschGroup/744000141882375,,"Bosch SmartRecruiters (BoschGroup, country=cn)",Archived from dashboard,Manual dashboard archive write-back.
2026-09-13T17:55:35.804Z,NXP,2027Y Campus- Linux Software Test Engineer,https://nxp.wd3.myworkdayjobs.com/careers/job/Shanghai-Pudong/XMLNAME-2027Y-Campus--Linux-Software-Test-Engineer_R-10066636,,NXP 校招官网 Workday (nxp/careers),Archived from dashboard,Manual dashboard archive write-back.
2026-09-13T17:57:01.516Z,Bosch 博世智能出行 (BCSC),智能家居测试开发工程师(27届校招),https://jobs.smartrecruiters.com/BoschGroup/744000141880769,,"Bosch SmartRecruiters (BoschGroup, country=cn)",Archived from dashboard,Manual dashboard archive write-back.
2026-09-14T13:49:12.512Z,Bosch 博世智能出行 (BCSC),辅助驾驶自动化测试工程师(27届校招),https://jobs.smartrecruiters.com/BoschGroup/744000141886674,,"Bosch SmartRecruiters (BoschGroup, country=cn)",Archived from dashboard,Manual dashboard archive write-back.
2026-09-21T13:14:50.526Z,博世 Bosch,智能体AI工程师_BCI (Agentic AI Engineer),https://jobs.smartrecruiters.com/BoschGroup/744000150618590,,Bosch SmartRecruiters 中国区接口 (api.smartrecruiters.com/v1/companies/BoschGroup/postings?country=cn),Archived from dashboard,Manual dashboard archive write-back.
