date_found,company,job_title,role_family,level,location,remote_policy,source,job_url,posted_date,priority,status,resume_variant,skip_reason,blocker,next_action,notes,archived
2026-09-05,NVIDIA,NVIDIA 2027 New College Graduate: Software Engineering - China,Software Engineering,2027 校招/New College Graduate,上海; 北京; 深圳,Onsite,NVIDIA 校招官网 Workday (NVIDIAExternalCareerSite),https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/China-Shanghai/NVIDIA-2027-New-College-Graduate--Software-Engineering---China_JR2024111,2026-08-21,High,Pending,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,,,可投递，等你确认,中国线首次 fetch 的最强 lead。三个地点全部是 Tier 1（上海主岗，北京和深圳为附加地点）。学位要求写明 Bachelor、Master、PhD 均可，不是学位门槛岗，这一点与美国线近三周连丢六个高级学位岗形成对比。技能列表为 C、C++、CUDA、Python、Java、JavaScript、Go、K8s 等并列可选项，标题未出现 C++，故 C++ 跳过规则不触发。毕业时间已于 2026-09-05 确认无障碍：候选人可自选 2026 年 12 月或 2027 年 5 月毕业，选 5 月即满足 Expected to graduate in 2027。未列薪资，按规则不因薪资跳过。,true
2026-09-05,NVIDIA,NVIDIA 2027 New College Graduate: Deep Learning and High-Performance Computing Engineering - China,AI Engineering,2027 校招/New College Graduate,上海; 北京; 深圳,Onsite,NVIDIA 校招官网 Workday (NVIDIAExternalCareerSite),https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/China-Shanghai/NVIDIA-2027-New-College-Graduate--Deep-Learning-and-High-Performance-Computing-Engineering---China_JR2024107,2026-08-21,High,Pending,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,,,可投递，等你确认,与上一条同批发布、同样三地 Tier 1、同样接受 Bachelor/Master/PhD，方向是深度学习与高性能计算，正落在 AI Engineering 目标族上。毕业时间已于 2026-09-05 确认无障碍：可自选 2027 年 5 月毕业，满足 Expected to graduate in 2027。要求涉及并行编程、GPU 计算与计算机体系结构，比上一条更偏底层。未列薪资。,true
2026-09-05,NVIDIA,NVIDIA 2027 New College Graduate: Autonomous Vehicles and Robotics - China,AI Engineering,2027 校招/New College Graduate,上海; 北京; 深圳,Onsite,NVIDIA 校招官网 Workday (NVIDIAExternalCareerSite),https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/China-Shanghai/NVIDIA-2027-New-College-Graduate--Autonomous-Vehicles-and-Robotics---China_JR2024109,2026-08-21,Medium,Pending,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,,技能要求以 C/C++/CUDA/ROS 为主，C++ 权重明显高于同批另外两条,若 C++ 问题确定为可接受，可与前两条一并投递,同批第三条，三地 Tier 1，学位同样不设门槛。方向为自动驾驶与机器人，涉及 Isaac Sim、MuJoCo、PyTorch。排在 Medium 而非 High 的原因是技能列表中 C/C++/CUDA/ROS 是主干而非可选项，与仍未裁定的 C++ 问题直接相关；美国线 Five Rings 和今天的 Cadence 都卡在同一个问题上。注意自动驾驶属民用汽车领域，不触发航空航天与国防跳过规则。 毕业时间已于 2026-09-05 确认无障碍（可选 2027 年 5 月毕业），本条剩余的唯一待裁定项是 C++。,true
2026-09-05,KLA,【2027 Campus】Software Engineer,Software Engineering,2027 校招,上海,Onsite,KLA 校招官网 Workday (kla/Search),https://kla.wd1.myworkdayjobs.com/Search/job/Shanghai-China/XMLNAME--2027-Campus--Software-Engineer_2639770,2026-08-17,Low,Skipped,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,学位加经验组合门槛：本科分支要求 2 年相关工作经验，应届本科不满足,,No action,标题明确标注 2027 校招，Tier 1 上海，方向为面向半导体量测设备的软件开发，语言涉及 C/C++、C#、Java、Python 等并列。卡点在资格线的写法：硕士零经验即可，本科则需要 2 年相关工作经验，而应届本科生显然不具备。这与美国线自 8 月以来反复出现的学位问题是同一个，只是这次本科并非完全不可，而是附加了一条应届生无法满足的经验要求。KLA 同批在上海另有三条 req id 不同的同名岗位（2639773、2639771、2639762），条件一致，未单独建行。 2026-09-13 更新：学位层次已于 2026-09-06 确认为本科，本条卡住的事实已补上。资格线的硕士分支零经验可投，本科分支需 2 年相关经验，应届本科不满足，故由 Needs user 改为 Skipped。,false
2026-09-05,KLA,【2027 Campus】Software Engineer,Software Engineering,2027 校招,合肥,Onsite,KLA 校招官网 Workday (kla/Search),https://kla.wd1.myworkdayjobs.com/Search/job/Hefei-China/XMLNAME--2027-Campus-Software-Engineer_2639774,2026-08-17,Low,Skipped,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,学位加经验组合门槛：本科分支要求 2 年相关工作经验，应届本科不满足；另合肥不在一二线城市清单,,No action,与上海条同批同条件，唯一差别是地点。合肥不在规则的 Tier 1 或 Tier 2 名单里，落在 Tier 3「其他大陆城市，个案判断」，因此即使学位问题解决，仍需要你对城市表态。 2026-09-13 更新：学位层次已于 2026-09-06 确认为本科，本条卡住的事实已补上。资格线的硕士分支零经验可投，本科分支需 2 年相关经验，应届本科不满足，故由 Needs user 改为 Skipped。,false
2026-09-05,KLA,【2027 Campus】Software Engineer-QA,Software Engineering,2027 校招,上海,Onsite,KLA 校招官网 Workday (kla/Search),https://kla.wd1.myworkdayjobs.com/Search/job/Shanghai-China/XMLNAME--2027-Campus--Software-Engineer-QA_2639775,2026-08-17,Low,Skipped,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,学位加经验组合门槛：本科分支要求 2 年相关工作经验，应届本科不满足,,No action,同批 QA 方向，资格线与开发岗完全一致（硕士 0 年或本科 2 年），额外要求 BS 及以上理工科学位。测试方向与 Software Engineering 目标族的边界此前未裁定过，美国线也没有先例，故一并交由你决定。 2026-09-13 更新：学位层次已于 2026-09-06 确认为本科，本条卡住的事实已补上。资格线的硕士分支零经验可投，本科分支需 2 年相关经验，应届本科不满足，故由 Needs user 改为 Skipped。,false
2026-09-05,NVIDIA,NVIDIA 2027 New College Graduate: GPU Architecture Engineering - China,Hardware Engineering,2027 校招,上海; 北京; 深圳,Onsite,NVIDIA 校招官网 Workday (NVIDIAExternalCareerSite),https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/China-Shanghai/NVIDIA-2027-New-College-Graduate--GPU-Architecture-Engineering---China_JR2024110,2026-08-21,Low,Skipped,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,岗位族为硬件/芯片架构，不属于软件或 AI 工程,,No action,"与三条 lead 同批发布、条件相同，仅方向为 GPU 架构设计。同批的 Hardware ASIC Engineering（上海）与 Physical Design, VLSI - New College Grad 2027 属同一跳过理由，未单独建行。",false
2026-09-05,NVIDIA,2027 实习岗位批量（Software Engineering Intern、ASIC Intern、Developer Technology Intern 等约 25 条）,Software Engineering,实习,上海; 北京,Onsite,NVIDIA 校招官网 Workday (NVIDIAExternalCareerSite),https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,2026-09-05,Low,Skipped,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,实习岗位（规则跳过）；且读正文后确认为 1 年期全职日常实习，要求在读且多数要求硕博，2027 年 5 月毕业不符合,,No action,"NVIDIA 中国区当前挂 30 条 2027 实习 req，其中软件/AI 方向 22 条，多条发布于本周，是本次扫描里最新鲜也最贴合方向的一批。初次记录时仅按 job type 跳过，未读正文；应用户提问后逐条读取 22 条正文，结论是即使日后开放实习，这批也基本不适合 2027 年 5 月毕业的候选人，原因有三：其一，22 条中 18 条明确要求 currently pursuing / 在读，且岗位性质是 1 年期全职日常实习，Software QA Developer Intern 写明「2nd year or 3rd year in a master program」并要求 available to work full time for 1 year internship，Test Development 条写明 ability to work full-time, on-site five days per week, for one year，2027 年 5 月毕业者剩余在校时间不足一年；其二，唯一写明毕业年份的 AI Developer Technology Engineer Intern 要求 will graduate in 2028，直接排除 2027 届；其三，22 条中 19 条要求或偏好 MS/PhD，NCCL 条要求 PhD，撞上尚未裁定的学位层次问题。结论是中国线的正确入口是校招全职（即本批三条 NVIDIA 2027 校招 lead），而非实习。",false
2026-09-05,KLA,【2027 Campus】Regional Development Applications Engineer,Technical Support,2027 校招,上海,Onsite,KLA 校招官网 Workday (kla/Search),https://kla.wd1.myworkdayjobs.com/Search/job/Shanghai-China/XMLNAME--2027-Campus--Regional-Development-Applications-Engineer_2639766,2026-08-17,Low,Skipped,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,岗位族为应用/客户支持工程，不属于软件或 AI 工程,,No action,KLA 同批在上海挂了五条 req id 不同的同名岗位，均为面向客户的应用工程方向，与美国线 Axon 的 Embedded Technical Account Manager 属同一跳过理由。合并为一行记录。,false
2026-09-05,NXP,2027 Campus - System and Application Engineer（正文标题为 Application Engineer – Automotive MCU）,Technical Support,2027 校招,上海浦东; 重庆,Onsite,NXP 校招官网 Workday (nxp/careers),https://nxp.wd3.myworkdayjobs.com/careers/job/Shanghai-Pudong/XMLNAME-2027-Campus---System-and-Application-Engineer_R-10064877,2026-07-10,Low,Skipped,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,岗位族为面向客户的应用工程（FAE），不属于软件或 AI 工程,,No action,列表标题看起来像系统工程岗，正文标题实为 Application Engineer – Automotive MCU，职责是配合客户与 FAE 团队、支持客户调试与集成、承担客户培训，属典型现场应用工程。要求为 2027 届毕业，学位门槛本身不构成障碍。这是今天第二次出现列表标题与正文不一致的情况，与美国线 Applied Intuition 的标题正文冲突同类。,false
