date_found,company,job_title,role_family,level,location,remote_policy,source,job_url,posted_date,priority,status,resume_variant,skip_reason,blocker,next_action,notes,archived
2026-07-14,Katalyst Space Technologies,Software Engineer 1 - Model and Simulation,Software Engineering,Early career,"Broomfield, CO",Unspecified,Simplify Jobs,https://job-boards.greenhouse.io/katalyst/jobs/6115352004?utm_source=Simplify&ref=Simplify,2026-07-14,Low,Skipped,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,Space industry hard skip,,No action,"Fresh 0d lead, but company/role appears space-related and violates the user's space/aerospace skip rule.",true
2026-07-14,Varsity Brands,Software Engineer 1,Software Engineering,Early career,Remote in USA,Remote,Simplify Jobs,https://careers.varsitybrands.com/global/en/job/JR114172?utm_source=Simplify&ref=Simplify,2026-07-14,Medium,Pending,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,,,,Fresh 0d lead. Role/title and remote policy fit. Compensation and sponsorship details were not visible in the source list.,true
2026-07-14,DoorDash,Software Engineer 1,Software Engineering,Early career,"Seattle, WA; SF; LA; NYC; Sunnyvale, CA",Unspecified,Simplify Jobs,https://job-boards.greenhouse.io/doordashusa/jobs/7263610?utm_source=Simplify&ref=Simplify,2026-07-14,High,Pending,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,,,,Fresh 0d lead. Strong title fit and multiple Tier 1 locations. Compensation and sponsorship details were not visible in the source list.,true
2026-07-14,WhatNot,Software Engineer New Grad,Software Engineering,New grad,NYC,Unspecified,Simplify Jobs,https://jobs.ashbyhq.com/whatnot/bc8f8c7f-2c4c-4f43-a238-953568c101b8/application?utm_source=Simplify&ref=Simplify,2026-07-14,High,Pending,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,,,,Fresh 0d lead. Strong new-grad/title fit and Tier 1 location. Compensation and sponsorship details were not visible in the source list.,true
2026-07-14,Akuna Capital University,Entry Level Software Engineer - C++,Software Engineering,Entry level,"Chicago, IL",Unspecified,Simplify Jobs,https://www.akunacapital.com/careers/job/8013085/?gh_jid=8013085&utm_source=Simplify&ref=Simplify,2026-07-14,Low,Skipped,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,Job title explicitly says C++,,No action,Updated 2026-07-15 per user rule: exclude jobs whose title explicitly says C++.,true
2026-07-15,Faros AI,Software Engineer New Grad,Software Engineering,New grad,"San Mateo, CA",Unspecified,Simplify Jobs public new-grad feed,https://jobs.ashbyhq.com/faros-ai/622e1f1e-4a39-4e7c-8526-1189ca588066/application?embed=true&utm_source=Simplify&ref=Simplify,2026-07-15,High,Pending,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,,,,0d lead. Strong new-grad SWE title and Tier 1 Bay Area location. Salary and sponsorship details were not visible in the source row.,true
2026-07-15,Nuro,Software Engineer New Grad - Performance,Software Engineering,New grad,"Mountain View, CA",Unspecified,Simplify Jobs public new-grad feed,https://nuro.ai/careersitem?gh_jid=8064655&utm_source=Simplify&ref=Simplify,2026-07-15,High,Pending,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,,,,0d lead. Strong new-grad SWE title and Tier 1 location. Verify sponsorship and compensation before applying.,true
2026-07-15,InstaLILY,Software Engineer 1 - General,Software Engineering,Early career,SF; NYC,Unspecified,Simplify Jobs public new-grad feed,https://job-boards.greenhouse.io/instalilyai/jobs/4271757009?utm_source=Simplify&ref=Simplify,2026-07-15,High,Pending,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,,,,0d lead. SWE1 role in two Tier 1 locations. Verify salary and sponsorship in posting.,true
2026-07-15,Esri,Software Development Engineer 1 - Agentic AI - ArcGIS Enterprise,AI Engineering,Early career,"West Redlands, Redlands, CA",Unspecified,Simplify Jobs public new-grad feed,https://www.esri.com/careers/5186832007?gh_jid=5186832007&utm_source=Simplify&ref=Simplify,2026-07-15,High,Pending,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,,,,0d lead. SDE1 plus agentic AI scope in California. Verify sponsorship and compensation before applying.,true
2026-07-15,Salesforce,Software Engineering AMTS (College Grad),Software Engineering,New grad,"San Francisco, CA",Unspecified,LinkedIn Jobs guest search,https://www.linkedin.com/jobs/view/software-engineering-amts-college-grad-at-salesforce-4393219831,2026-07-15,High,Pending,/Users/kejunliu/Downloads/resume/Liu_Kejun_Resume_2026.md,,,,Fresh LinkedIn lead. College-grad SWE role in Tier 1 location. Need source-of-truth posting review for sponsorship and salary.,true
